,name,url,Avg_Rate,Location,Price,Quality,Service,Space
0,McDonald's - Sân Bay Tân Sơn Nhất,/ho-chi-minh/mcdonald-s-san-bay-tan-son-nhat,7.52,7.8,7.5,7.6,7.1,7.6
1,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long,7.444,7.9,6.5,7.5,7.4,7.9
2,Phố Ngon 37 - Saigon Centre,/ho-chi-minh/pho-ngon-37-saigon-centre,7.658,8.1,7.2,7.4,7.3,8.3
3,Mộc Vị Quán - Mì Quảng & Cơm Dĩa Nóng - Sư Vạn Hạnh,/ho-chi-minh/moc-vi-quan-mi-quang-com-dia-nong-su-van-hanh,6.956,7.2,6.9,6.9,6.8,6.9
4,Lotteria - Vạn Kiếp,/ho-chi-minh/lotteria-van-kiep,6.686,7.3,6.6,6.2,6.5,6.9
5,Hotpot Story - Pearl Plaza,/ho-chi-minh/hotpot-story-pearl-plaza,7.4,7.6,7.0,7.0,7.7,7.9
6,Sky Garden - BBQ & Hot Pot - Phan Văn Trị,/ho-chi-minh/sky-garden-bbq-hot-pot-phan-van-tri,6.728,7.5,6.0,6.2,7.0,7.1
7,"Sandwich Man - Cơm, Thức Ăn Nhanh & Giải Khát",/ho-chi-minh/sandwich-man-com-thuc-an-nhanh-giai-khat,7.1,8.0,6.5,7.0,7.0,7.0
8,Pizza 4P's - Pizza Kiểu Nhật - Hai Bà Trưng,/ho-chi-minh/pizza-4p-s-pizza-kieu-nhat-hai-ba-trung,8.24,8.3,7.4,8.5,8.4,8.6
9,Haidilao Hot Pot - Bitexco Tower,/ho-chi-minh/hai-di-lao-hot-pot-bitexco-tower,8.748,8.7,7.8,8.9,9.4,8.9
10,Kichi Kichi Lẩu Băng Chuyền - Nguyễn Văn Trỗi,/ho-chi-minh/kichi-kichi-lau-bang-chuyen-nguyen-van-troi,7.186,7.6,6.7,7.1,7.2,7.3
