
################################################################################
user-based = 1 ( ~ user-based)
################################################################################

K = 50, lam = 0.1, learning_rate = 0.75, max_iter = 250, user_based = 1
 
iter = 10 , loss = 4.339812519435176 , RMSE train = 1.4736979486369186
iter = 20 , loss = 1.1154896468922135 , RMSE train = 1.4736996918858472
iter = 30 , loss = 1.0861645499701944 , RMSE train = 1.4736996921737961
iter = 40 , loss = 1.0858978393452752 , RMSE train = 1.473699692173843
iter = 50 , loss = 1.0858954136210281 , RMSE train = 1.473699692173843
iter = 60 , loss = 1.0858953915591338 , RMSE train = 1.473699692173843
iter = 70 , loss = 1.0858953913584815 , RMSE train = 1.473699692173843
iter = 80 , loss = 1.0858953913566565 , RMSE train = 1.473699692173843
iter = 90 , loss = 1.08589539135664 , RMSE train = 1.473699692173843
iter = 100 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 110 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 120 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 130 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 140 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 150 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 160 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 170 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 180 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 190 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 200 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 210 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 220 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 230 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 240 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843
iter = 250 , loss = 1.0858953913566398 , RMSE train = 1.473699692173843

User-based MF, RMSE = 1.5465412443099478


iter = 10 , loss = 4.109145379612437 , RMSE train = 1.3107684885035258
iter = 20 , loss = 0.8886191606034806 , RMSE train = 1.3107705756120913
iter = 30 , loss = 0.85932859299557 , RMSE train = 1.310770575916177
iter = 40 , loss = 0.8590621964491076 , RMSE train = 1.310770575916202
iter = 50 , loss = 0.859059773582002 , RMSE train = 1.310770575916202
iter = 60 , loss = 0.8590597515461015 , RMSE train = 1.310770575916202
iter = 70 , loss = 0.8590597513456856 , RMSE train = 1.310770575916202
