
################################################################################
user-based = 1 ( ~ user-based)
################################################################################

K = 50, lam = .1, learning_rate = 0.75, max_iter = 350, user_based = 1

iter = 10 , loss = 24.482614722434132 , RMSE train = 1.8620923460835566
iter = 20 , loss = 11.42085493540561 , RMSE train = 1.42314542738421
iter = 30 , loss = 5.756484683988467 , RMSE train = 1.4025775406699572
iter = 40 , loss = 3.172449489537195 , RMSE train = 1.4026291881075477
iter = 50 , loss = 1.987853856221522 , RMSE train = 1.4029330623835528
iter = 60 , loss = 1.4445562580876388 , RMSE train = 1.4030311752836884
iter = 70 , loss = 1.1953800178866953 , RMSE train = 1.4030578798747348
iter = 80 , loss = 1.081102302285156 , RMSE train = 1.403064746572798
iter = 90 , loss = 1.0286932237959878 , RMSE train = 1.403066458525812
iter = 100 , loss = 1.0046581118442999 , RMSE train = 1.4030668765906722
iter = 110 , loss = 0.9936355225814518 , RMSE train = 1.4030669771537778
iter = 120 , loss = 0.9885805253068183 , RMSE train = 1.4030670010678876
iter = 130 , loss = 0.9862622808662787 , RMSE train = 1.403067006704199
iter = 140 , loss = 0.9851991194034326 , RMSE train = 1.4030670080232728
iter = 150 , loss = 0.9847115444849668 , RMSE train = 1.4030670083302386
iter = 160 , loss = 0.9844879372174224 , RMSE train = 1.4030670084013739
iter = 170 , loss = 0.9843853878162968 , RMSE train = 1.4030670084177677
iter = 180 , loss = 0.9843383569261309 , RMSE train = 1.4030670084216115
iter = 190 , loss = 0.9843167876124502 , RMSE train = 1.4030670084224475
iter = 200 , loss = 0.9843068954164838 , RMSE train = 1.4030670084226295
iter = 210 , loss = 0.9843023585858329 , RMSE train = 1.40306700842271
iter = 220 , loss = 0.9843002778537934 , RMSE train = 1.4030670084227144
iter = 230 , loss = 0.9842993235564541 , RMSE train = 1.4030670084227153
iter = 240 , loss = 0.9842988858776256 , RMSE train = 1.4030670084227153
iter = 250 , loss = 0.9842986851385356 , RMSE train = 1.4030670084227153
iter = 260 , loss = 0.9842985930695626 , RMSE train = 1.4030670084227153
iter = 270 , loss = 0.9842985508416157 , RMSE train = 1.4030670084227153
iter = 280 , loss = 0.9842985314732764 , RMSE train = 1.4030670084227153
iter = 290 , loss = 0.9842985225896352 , RMSE train = 1.4030670084227153
iter = 300 , loss = 0.9842985185149283 , RMSE train = 1.4030670084227153
iter = 310 , loss = 0.9842985166459296 , RMSE train = 1.4030670084227153
iter = 320 , loss = 0.9842985157886359 , RMSE train = 1.4030670084227153
iter = 330 , loss = 0.984298515395395 , RMSE train = 1.4030670084227153
iter = 340 , loss = 0.9842985152150113 , RMSE train = 1.4030670084227153
iter = 350 , loss = 0.9842985151322655 , RMSE train = 1.4030670084227153

User-based MF, RMSE = 1.4621422080122954


iter = 10 , loss = 24.244447754210213 , RMSE train = 1.726586675152502
iter = 20 , loss = 11.216305725091445 , RMSE train = 1.2733405303768888
iter = 30 , loss = 5.555837459600835 , RMSE train = 1.2523447668995618
iter = 40 , loss = 2.9726760252038797 , RMSE train = 1.2525733373086685
iter = 50 , loss = 1.78838125905733 , RMSE train = 1.2529128167739199
iter = 60 , loss = 1.2452127347633832 , RMSE train = 1.253015234248123
iter = 70 , loss = 0.9960962858504989 , RMSE train = 1.2530420075279194
iter = 80 , loss = 0.8818467684970557 , RMSE train = 1.2530486952046682
iter = 90 , loss = 0.8294510049965182 , RMSE train = 1.2530503255994643
iter = 100 , loss = 0.805422172487104 , RMSE train = 1.2530507165494595
iter = 110 , loss = 0.7944025444030788 , RMSE train = 1.253050809143112
iter = 120 , loss = 0.789348945560642 , RMSE train = 1.2530508308637167
iter = 130 , loss = 0.7870313632621949 , RMSE train = 1.2530508359202612
