
################################################################################
user-based = 1 ( ~ user-based)
################################################################################

K = 10, lam = .1, learning_rate = 0.75, max_iter = 500, user_based = 1)

iter = 10 , loss = 11.035673753706833 , RMSE train = 1.31341077071076
iter = 20 , loss = 5.37314338840249 , RMSE train = 1.1911622475347006
iter = 30 , loss = 2.8428618012365434 , RMSE train = 1.186774244160729
iter = 40 , loss = 1.6851096813319186 , RMSE train = 1.1868934114059204
iter = 50 , loss = 1.1542229610836914 , RMSE train = 1.1869799860939898
iter = 60 , loss = 0.9107464968436222 , RMSE train = 1.1870042322967942
iter = 70 , loss = 0.7990846654339439 , RMSE train = 1.1870103081600836
iter = 80 , loss = 0.7478759484311706 , RMSE train = 1.1870117814820431
iter = 90 , loss = 0.7243916122586725 , RMSE train = 1.187012132775251
iter = 100 , loss = 0.7136217374662518 , RMSE train = 1.1870122155659981
iter = 110 , loss = 0.7086826969591864 , RMSE train = 1.1870122349029002
iter = 120 , loss = 0.7064176616150156 , RMSE train = 1.1870122393867562
iter = 130 , loss = 0.7053789180686472 , RMSE train = 1.1870122404203265
iter = 140 , loss = 0.7049025496742313 , RMSE train = 1.1870122406574215
iter = 150 , loss = 0.7046840861367905 , RMSE train = 1.1870122407115744
iter = 160 , loss = 0.7045838979483012 , RMSE train = 1.1870122407239052
iter = 170 , loss = 0.7045379511005588 , RMSE train = 1.1870122407267143
iter = 180 , loss = 0.704516879543067 , RMSE train = 1.187012240727338
iter = 190 , loss = 0.7045072159339548 , RMSE train = 1.187012240727461
iter = 200 , loss = 0.7045027840951401 , RMSE train = 1.1870122407274768
iter = 210 , loss = 0.7045007515952574 , RMSE train = 1.1870122407274908
iter = 220 , loss = 0.7044998194594788 , RMSE train = 1.187012240727492
iter = 230 , loss = 0.7044993919655034 , RMSE train = 1.1870122407274923
iter = 240 , loss = 0.704499195908163 , RMSE train = 1.1870122407274923
iter = 250 , loss = 0.7044991059918226 , RMSE train = 1.1870122407274923
iter = 260 , loss = 0.7044990647539097 , RMSE train = 1.1870122407274923
iter = 270 , loss = 0.7044990458410406 , RMSE train = 1.1870122407274923
iter = 280 , loss = 0.7044990371670091 , RMSE train = 1.1870122407274923
iter = 290 , loss = 0.7044990331888005 , RMSE train = 1.1870122407274923
iter = 300 , loss = 0.7044990313642439 , RMSE train = 1.1870122407274923
iter = 310 , loss = 0.7044990305274269 , RMSE train = 1.1870122407274923
iter = 320 , loss = 0.7044990301436249 , RMSE train = 1.1870122407274923
iter = 330 , loss = 0.7044990299675945 , RMSE train = 1.1870122407274923
iter = 340 , loss = 0.7044990298868575 , RMSE train = 1.1870122407274923
iter = 350 , loss = 0.7044990298498268 , RMSE train = 1.1870122407274923
iter = 360 , loss = 0.7044990298328423 , RMSE train = 1.1870122407274923
iter = 370 , loss = 0.704499029825052 , RMSE train = 1.1870122407274923
iter = 380 , loss = 0.7044990298214788 , RMSE train = 1.1870122407274923
iter = 390 , loss = 0.7044990298198398 , RMSE train = 1.1870122407274923
iter = 400 , loss = 0.7044990298190881 , RMSE train = 1.1870122407274923
iter = 410 , loss = 0.7044990298187432 , RMSE train = 1.1870122407274923
iter = 420 , loss = 0.704499029818585 , RMSE train = 1.1870122407274923
iter = 430 , loss = 0.7044990298185125 , RMSE train = 1.1870122407274923
iter = 440 , loss = 0.7044990298184792 , RMSE train = 1.1870122407274923
iter = 450 , loss = 0.704499029818464 , RMSE train = 1.1870122407274923
iter = 460 , loss = 0.7044990298184569 , RMSE train = 1.1870122407274923
iter = 470 , loss = 0.7044990298184538 , RMSE train = 1.1870122407274923
iter = 480 , loss = 0.7044990298184522 , RMSE train = 1.1870122407274923
iter = 490 , loss = 0.7044990298184516 , RMSE train = 1.1870122407274923
iter = 500 , loss = 0.7044990298184513 , RMSE train = 1.1870122407274923

User-based MF, RMSE = 1.2309334491382473

################################################################################

K = 10, lam = .1, learning_rate = 0.1, max_iter = 500, user_based = 1)

iter = 10 , loss = 23.864623168807064 , RMSE train = 2.442035728975284
iter = 20 , loss = 20.796605778246484 , RMSE train = 2.1504851840064956
iter = 30 , loss = 18.354342160057666 , RMSE train = 1.9080397503428657
iter = 40 , loss = 16.340776408728082 , RMSE train = 1.7122280452687344
iter = 50 , loss = 14.63830289493886 , RMSE train = 1.561628752228466
iter = 60 , loss = 13.172391724585951 , RMSE train = 1.449216513809776
iter = 70 , loss = 11.893366354435088 , RMSE train = 1.3679007206781504
iter = 80 , loss = 10.76661060230512 , RMSE train = 1.3103538893162034
iter = 90 , loss = 9.767011958510786 , RMSE train = 1.270616629602805
iter = 100 , loss = 8.875671305515834 , RMSE train = 1.2434593835716228
iter = 110 , loss = 8.077886600310064 , RMSE train = 1.2250000711221039
iter = 120 , loss = 7.3618812595216285 , RMSE train = 1.2125332295393674
iter = 130 , loss = 6.717981708997531 , RMSE train = 1.20413557378355
iter = 140 , loss = 6.138072835021899 , RMSE train = 1.1984844335753566
iter = 150 , loss = 5.6152290805214715 , RMSE train = 1.1946823107735796
iter = 160 , loss = 5.143458635476277 , RMSE train = 1.1921262788056513
iter = 170 , loss = 4.7175216926597585 , RMSE train = 1.1904090666659886
iter = 180 , loss = 4.332798009849152 , RMSE train = 1.1892560750680412
iter = 190 , loss = 3.985187847095145 , RMSE train = 1.188482726906743
iter = 200 , loss = 3.6710358966416368 , RMSE train = 1.1879649318846535
iter = 210 , loss = 3.387071358209096 , RMSE train = 1.1876191911996574
iter = 220 , loss = 3.1303595902409467 , RMSE train = 1.1873892887016648
iter = 230 , loss = 2.898262250145179 , RMSE train = 1.1872373619109104
iter = 240 , loss = 2.6884038100627414 , RMSE train = 1.1871378624406683
iter = 250 , loss = 2.498642979497938 , RMSE train = 1.1870735443640863
iter = 260 , loss = 2.327047996934744 , RMSE train = 1.187032764677385
iter = 270 , loss = 2.1718750430053437 , RMSE train = 1.1870076617656053
iter = 280 , loss = 2.031549225579881 , RMSE train = 1.1869929289832455
iter = 290 , loss = 1.9046477234112642 , RMSE train = 1.1869849878390402
iter = 300 , loss = 1.7898847700985057 , RMSE train = 1.1869814298124965
iter = 310 , loss = 1.6860982275701124 , RMSE train = 1.1869806389869806
iter = 320 , loss = 1.5922375469523895 , RMSE train = 1.1869815365612102
iter = 330 , loss = 1.5073529505016472 , RMSE train = 1.1869834076346595
iter = 340 , loss = 1.4305856952127667 , RMSE train = 1.1869857836191613
iter = 350 , loss = 1.361159299435933 , RMSE train = 1.1869883623221884
iter = 360 , loss = 1.298371630139386 , RMSE train = 1.1869909535853884
iter = 370 , loss = 1.2415877615765927 , RMSE train = 1.1869934422884945
iter = 380 , loss = 1.1902335268931274 , RMSE train = 1.1869957631734636
iter = 390 , loss = 1.1437896932228944 , RMSE train = 1.1869978837267194
iter = 400 , loss = 1.1017866984862277 , RMSE train = 1.1869997925631162
