
không edit totalLike: 

################################################################################
user-based = 1 ( ~ user-based)
################################################################################

K = 10, lam = .1, learning_rate = 0.75, max_iter = 500, user_based = 1

iter = 10 , loss = 60.45031150911842 , RMSE train = 3.557638028247554
iter = 20 , loss = 50.90987691912065 , RMSE train = 3.240753263623348
iter = 30 , loss = 43.69187143577279 , RMSE train = 2.9215658237364925
iter = 40 , loss = 38.0276588226767 , RMSE train = 2.6120290229059204
iter = 50 , loss = 33.44931116465833 , RMSE train = 2.3259006957804713
iter = 60 , loss = 29.657588333792432 , RMSE train = 2.0726342026333144
iter = 70 , loss = 26.454485426791656 , RMSE train = 1.8591221634991135
iter = 80 , loss = 23.705260416035372 , RMSE train = 1.6837877998031163
iter = 90 , loss = 21.315811293298914 , RMSE train = 1.5435630101105844
iter = 100 , loss = 19.218707774487434 , RMSE train = 1.4357415728242149
iter = 110 , loss = 17.364353691943542 , RMSE train = 1.3563771660262862
iter = 120 , loss = 15.715293544387197 , RMSE train = 1.2997582133576377
iter = 130 , loss = 14.24249077191124 , RMSE train = 1.2604662523463128
iter = 140 , loss = 12.922863543013666 , RMSE train = 1.2336398977864316
iter = 150 , loss = 11.737633034502501 , RMSE train = 1.215515262716548
iter = 160 , loss = 10.671202260603126 , RMSE train = 1.2033975616064394
iter = 170 , loss = 9.710384546660169 , RMSE train = 1.1953529733172914
iter = 180 , loss = 8.84386441022136 , RMSE train = 1.1900545459282577
iter = 190 , loss = 8.061814251865666 , RMSE train = 1.186594322535509
iter = 200 , loss = 7.355616461300485 , RMSE train = 1.1843573706323152
iter = 210 , loss = 6.717657575322143 , RMSE train = 1.1829301328525081
iter = 220 , loss = 6.141172266497562 , RMSE train = 1.1820351542038385
iter = 230 , loss = 5.6201222713123 , RMSE train = 1.181488175765949
iter = 240 , loss = 5.149100211753211 , RMSE train = 1.1811665631784072
iter = 250 , loss = 4.723251481310783 , RMSE train = 1.1809893681359274
iter = 260 , loss = 4.338209511572862 , RMSE train = 1.180903318987372
iter = 270 , loss = 3.9900411724478446 , RMSE train = 1.1808734110117936
iter = 280 , loss = 3.6752000262098967 , RMSE train = 1.1808769097583267
iter = 290 , loss = 3.390485810231794 , RMSE train = 1.1808992027728245
iter = 300 , loss = 3.133008969410358 , RMSE train = 1.1809310219861144
iter = 310 , loss = 2.9001593658053073 , RMSE train = 1.1809666265770515
iter = 320 , loss = 2.6895785057075297 , RMSE train = 1.181002560903311
iter = 330 , loss = 2.49913477373898 , RMSE train = 1.1810368390808055
iter = 340 , loss = 2.3269012700399974 , RMSE train = 1.181068415318463
iter = 350 , loss = 2.1711359237548953 , RMSE train = 1.1810968318455886
iter = 360 , loss = 2.0302636130429415 , RMSE train = 1.1811219889248448
iter = 370 , loss = 1.9028600648732226 , RMSE train = 1.1811439958671532
iter = 380 , loss = 1.7876373410801651 , RMSE train = 1.1811630756279876
iter = 390 , loss = 1.6834307433828248 , RMSE train = 1.181179504702188
