
################################################################################
user-based = 1 ( ~ user-based)
################################################################################

K = 10, lam = .1, learning_rate = 0.75, max_iter = 500, user_based = 1

iter = 10 , loss = 11.004642183067457 , RMSE train = 1.286331643640281
iter = 20 , loss = 5.390785571229873 , RMSE train = 1.2048601786065654
iter = 30 , loss = 2.8644914979447607 , RMSE train = 1.2042517760801141
iter = 40 , loss = 1.707469233520075 , RMSE train = 1.2051497660437118
iter = 50 , loss = 1.176706547277151 , RMSE train = 1.2054659440296926
iter = 60 , loss = 0.9331983671970709 , RMSE train = 1.2055600633821462
iter = 70 , loss = 0.8214785049463922 , RMSE train = 1.2055872743542773
iter = 80 , loss = 0.7702199089744856 , RMSE train = 1.2055951377947516
iter = 90 , loss = 0.7466993289621421 , RMSE train = 1.2055974313969975
iter = 100 , loss = 0.735904748567909 , RMSE train = 1.2055981093610812
iter = 110 , loss = 0.7309493166225061 , RMSE train = 1.2055983127096845
iter = 120 , loss = 0.7286735152757882 , RMSE train = 1.205598374581076
iter = 130 , loss = 0.7276277086459866 , RMSE train = 1.2055983936539942
iter = 140 , loss = 0.7271466884508367 , RMSE train = 1.2055983996008888
iter = 150 , loss = 0.7269251408373224 , RMSE train = 1.2055984014729788
iter = 160 , loss = 0.7268228919473597 , RMSE train = 1.2055984020669683
iter = 170 , loss = 0.7267755575380135 , RMSE train = 1.2055984022566368
iter = 180 , loss = 0.7267535456333069 , RMSE train = 1.2055984023174882
iter = 190 , loss = 0.726743242184476 , RMSE train = 1.2055984023371011
iter = 200 , loss = 0.726738374724865 , RMSE train = 1.2055984023434512
iter = 210 , loss = 0.7267360466532244 , RMSE train = 1.20559840234552
iter = 220 , loss = 0.7267349154248302 , RMSE train = 1.20559840234619
iter = 230 , loss = 0.7267343552129706 , RMSE train = 1.2055984023464086
iter = 240 , loss = 0.7267340717889663 , RMSE train = 1.205598402346484
iter = 250 , loss = 0.72673392515458 , RMSE train = 1.2055984023465098
iter = 260 , loss = 0.7267338476297702 , RMSE train = 1.2055984023465143
iter = 270 , loss = 0.7267338058409788 , RMSE train = 1.2055984023465154
iter = 280 , loss = 0.7267337829497756 , RMSE train = 1.2055984023465158
iter = 290 , loss = 0.7267337702520735 , RMSE train = 1.2055984023465158
iter = 300 , loss = 0.7267337631429127 , RMSE train = 1.2055984023465158
iter = 310 , loss = 0.7267337591361461 , RMSE train = 1.2055984023465158
iter = 320 , loss = 0.7267337568674442 , RMSE train = 1.2055984023465158
iter = 330 , loss = 0.7267337555787827 , RMSE train = 1.2055984023465158
iter = 340 , loss = 0.7267337548452149 , RMSE train = 1.2055984023465158
iter = 350 , loss = 0.7267337544270152 , RMSE train = 1.2055984023465158
iter = 360 , loss = 0.7267337541883611 , RMSE train = 1.2055984023465158
iter = 370 , loss = 0.7267337540520714 , RMSE train = 1.2055984023465158
iter = 380 , loss = 0.7267337539742001 , RMSE train = 1.2055984023465158
iter = 390 , loss = 0.7267337539296906 , RMSE train = 1.2055984023465158
iter = 400 , loss = 0.7267337539042429 , RMSE train = 1.2055984023465158
iter = 410 , loss = 0.7267337538896902 , RMSE train = 1.2055984023465158
iter = 420 , loss = 0.7267337538813665 , RMSE train = 1.2055984023465158
iter = 430 , loss = 0.7267337538766049 , RMSE train = 1.2055984023465158
iter = 440 , loss = 0.7267337538738806 , RMSE train = 1.2055984023465158
iter = 450 , loss = 0.7267337538723219 , RMSE train = 1.2055984023465158
iter = 460 , loss = 0.7267337538714298 , RMSE train = 1.2055984023465158
iter = 470 , loss = 0.7267337538709193 , RMSE train = 1.2055984023465158
iter = 480 , loss = 0.7267337538706271 , RMSE train = 1.2055984023465158
iter = 490 , loss = 0.7267337538704598 , RMSE train = 1.2055984023465158
iter = 500 , loss = 0.726733753870364 , RMSE train = 1.2055984023465158

Item-based MF, aMSE = 1.1717812136896786

################################################################################

K = 50, lam = .1, learning_rate = 0.75, max_iter = 500, user_based = 1

iter = 10 , loss = 23.895768361990594 , RMSE train = 1.5334314055695448
iter = 20 , loss = 11.130059037340263 , RMSE train = 1.2078262152649835
iter = 30 , loss = 5.490469968383581 , RMSE train = 1.200605888314515
iter = 40 , loss = 2.9122193468325266 , RMSE train = 1.2037503318482734
iter = 50 , loss = 1.729577154855178 , RMSE train = 1.2050237511639268
iter = 60 , loss = 1.1869232660361715 , RMSE train = 1.2054266888933547
iter = 70 , loss = 0.9379267368779844 , RMSE train = 1.2055475250944905
iter = 80 , loss = 0.823673295150843 , RMSE train = 1.2055832784629008
iter = 90 , loss = 0.7712433556287112 , RMSE train = 1.2055938685136736
iter = 100 , loss = 0.7471798060316533 , RMSE train = 1.205597028916874
iter = 110 , loss = 0.7361325086544921 , RMSE train = 1.2055979818048206
iter = 120 , loss = 0.731058740358517 , RMSE train = 1.2055982722749439
iter = 130 , loss = 0.7287270406313869 , RMSE train = 1.205598361755061
