
################################################################################
user-based = 1 ( ~ user-based)
################################################################################


K = 100, lam = .5, learning_rate = 0.75, max_iter = 300, user_based = 1

iter = 10 , loss = 5.678282462306284 , RMSE train = 1.4731778214765106
iter = 20 , loss = 1.1269457106935656 , RMSE train = 1.4732050441153823
iter = 30 , loss = 1.0855466087854844 , RMSE train = 1.4732050489130417
iter = 40 , loss = 1.0851700155325177 , RMSE train = 1.4732050489136197
iter = 50 , loss = 1.0851665895285663 , RMSE train = 1.4732050489136197
iter = 60 , loss = 1.0851665583585057 , RMSE train = 1.4732050489136197
iter = 70 , loss = 1.0851665580748948 , RMSE train = 1.4732050489136197
iter = 80 , loss = 1.0851665580723142 , RMSE train = 1.4732050489136197
iter = 90 , loss = 1.0851665580722907 , RMSE train = 1.4732050489136197
iter = 100 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 110 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 120 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 130 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 140 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 150 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 160 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 170 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 180 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 190 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 200 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 210 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 220 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 230 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 240 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 250 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 260 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 270 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 280 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 290 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197
iter = 300 , loss = 1.0851665580722905 , RMSE train = 1.4732050489136197

User-based MF, RMSE = 1.559850018072879


iter = 10 , loss = 5.442664847652945 , RMSE train = 1.304302110554037
iter = 20 , loss = 0.8924028292212857 , RMSE train = 1.3043269152313306
iter = 30 , loss = 0.8510142973579745 , RMSE train = 1.3043269195446323
iter = 40 , loss = 0.8506378128146831 , RMSE train = 1.304326919545192
iter = 50 , loss = 0.8506343879686799 , RMSE train = 1.304326919545192
iter = 60 , loss = 0.8506343568112009 , RMSE train = 1.304326919545192
iter = 70 , loss = 0.850634356527728 , RMSE train = 1.304326919545192
iter = 80 , loss = 0.8506343565251487 , RMSE train = 1.304326919545192
iter = 90 , loss = 0.8506343565251253 , RMSE train = 1.304326919545192
iter = 100 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 110 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 120 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 130 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 140 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 150 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 160 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 170 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 180 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 190 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 200 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 210 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 220 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
iter = 230 , loss = 0.8506343565251251 , RMSE train = 1.304326919545192
