
################################################################################
user-based = 1 ( ~ user-based)
################################################################################

K = 50, lam = .1, learning_rate = 0.75, max_iter = 250, user_based = 1

iter = 10 , loss = 34.59959232816226 , RMSE train = 1.8484444690414559
iter = 20 , loss = 15.809516941976446 , RMSE train = 1.240917242265643
iter = 30 , loss = 7.621800252077319 , RMSE train = 1.204169961735003
iter = 40 , loss = 3.8859330738001976 , RMSE train = 1.2026534182385435
iter = 50 , loss = 2.173536635834641 , RMSE train = 1.2026252768586478
iter = 60 , loss = 1.3882870319078615 , RMSE train = 1.2026343958795798
iter = 70 , loss = 1.02818301027435 , RMSE train = 1.2026374344574262
iter = 80 , loss = 0.8630443307406857 , RMSE train = 1.2026382189142018
iter = 90 , loss = 0.787314121457617 , RMSE train = 1.2026384104852805
iter = 100 , loss = 0.7525853635073052 , RMSE train = 1.2026384561917118
iter = 110 , loss = 0.7366592679819703 , RMSE train = 1.2026384669360373
iter = 120 , loss = 0.7293557939488882 , RMSE train = 1.2026384694334384
iter = 130 , loss = 0.7260065263522405 , RMSE train = 1.2026384700086743
iter = 140 , loss = 0.7244705998552348 , RMSE train = 1.2026384701401822
iter = 150 , loss = 0.723766245399364 , RMSE train = 1.2026384701700479
iter = 160 , loss = 0.7234432380821907 , RMSE train = 1.2026384701768036
iter = 170 , loss = 0.723295111254496 , RMSE train = 1.202638470178307
iter = 180 , loss = 0.7232271822337237 , RMSE train = 1.2026384701786443
iter = 190 , loss = 0.7231960308559778 , RMSE train = 1.2026384701787272
iter = 200 , loss = 0.7231817452246184 , RMSE train = 1.2026384701787538
iter = 210 , loss = 0.7231751940089725 , RMSE train = 1.2026384701787611
iter = 220 , loss = 0.7231721896997607 , RMSE train = 1.2026384701787622
iter = 230 , loss = 0.7231708119585715 , RMSE train = 1.202638470178762
iter = 240 , loss = 0.7231701801421129 , RMSE train = 1.2026384701787622
iter = 250 , loss = 0.7231698903980741 , RMSE train = 1.2026384701787622

User-based MF, RMSE = 1.2711385912088924

################################################################################

K = 50, lam = .1, learning_rate = 0.1, max_iter = 250, user_based = 1

iter = 10 , loss = 81.91784566278056 , RMSE train = 3.6898717596611883
iter = 20 , loss = 70.21847200224231 , RMSE train = 3.4176583295882335
iter = 30 , loss = 60.95187229727663 , RMSE train = 3.1211574665043957
iter = 40 , loss = 53.44522913435955 , RMSE train = 2.811822453510549
iter = 50 , loss = 47.23817525441287 , RMSE train = 2.5123476940114626
iter = 60 , loss = 42.0123401520118 , RMSE train = 2.2395187718578784
iter = 70 , loss = 37.54474463345265 , RMSE train = 2.002212879141169
iter = 80 , loss = 33.676859627312474 , RMSE train = 1.8035752479416558
iter = 90 , loss = 30.2939940548809 , RMSE train = 1.6423924455967989
iter = 100 , loss = 27.311516186287353 , RMSE train = 1.516411150004699
iter = 110 , loss = 24.665608864018886 , RMSE train = 1.4219750812393488
iter = 120 , loss = 22.307040671072315 , RMSE train = 1.3537407755388176
iter = 130 , loss = 20.19694829081276 , RMSE train = 1.3056400700679374
iter = 140 , loss = 18.30396340047041 , RMSE train = 1.2723363423050906
iter = 150 , loss = 16.60224084545537 , RMSE train = 1.2495310359565222
iter = 160 , loss = 15.070092822875583 , RMSE train = 1.234045452071294
iter = 170 , loss = 13.689032024275937 , RMSE train = 1.2235975253339364
